player_api_id,player_name,height,weight,Position
209371,Ali Messaoud,182.88,168,Outfield
172610,Damien Le Tallec,182.88,163,Outfield
115719,Dejan Skolnik,175.26,163,Outfield
26510,Gabor Babos,195.58,203,GK
30990,Justo Villar,180.34,187,GK
42042,Gennaro Iezzo,185.42,179,GK
166679,Guillaume Francois,175.26,159,Outfield
396526,Ruben Blanco,187.96,154,GK
18558,Nicolas Navarro,190.5,192,GK
32942,Don Cowie,177.8,161,Outfield
26052,Laurent Bonnart,170.18,137,Outfield
13436,Krzysztof Pilarz,182.88,172,GK
69594,Maciej Gostomski,195.58,198,GK
155548,Kevin Gomis,185.42,187,Outfield
41129,Paolo Acerbis,203.2,190,GK
213299,Nicola Leali,187.96,172,GK
192775,Wes Fletcher,180.34,187,Outfield
24064,Kieren Westwood,187.96,190,GK
22313,Elkin Soto,177.8,165,Outfield
30699,Michael Ballack,187.96,194,Outfield
12209,Tomas Kosicky,198.12,205,GK
209372,Adam Maher,175.26,143,Outfield
69793,Jakub Divis,195.58,194,GK
684552,Hassan,182.88,163,Outfield
450011,Anderson Talisca,187.96,159,Outfield
555647,Robert Bartczak,177.8,157,Outfield
113227,Moreno Costanzo,177.8,163,Outfield
56972,Carlos Sanchez,182.88,181,Outfield
561819,Alessandro Damen,185.42,183,GK
194632,Mika,195.58,198,GK
281936,Kerim Frei Koyunlu,170.18,146,Outfield
190010,Christopher Oualembo,175.26,170,Outfield
361712,Adam Dzwigala,185.42,176,Outfield
33632,Maxi Rodriguez,180.34,174,Outfield
206805,Jakub Szumski,193.04,172,GK
56829,Fernando Muslera,190.5,185,GK
157284,Zeljko Brkic,198.12,209,GK
155246,Angelo da Costa,185.42,179,GK
26508,Joost Terol,195.58,198,GK
43208,Radoslav Zabavnik,180.34,176,Outfield
287689,Formose Mendy,182.88,168,Outfield
35644,Antonio Mirante,193.04,174,GK
27440,Marek Mintal,182.88,179,Outfield
35463,Willo Flood,167.64,137,Outfield
40094,Rune Almenning Jarstein,190.5,181,GK
185644,Mathew Ryan,182.88,181,GK
70360,Maurice Edu,185.42,179,Outfield
17296,Claude Gnakpa,182.88,192,Outfield
315949,Paul Grant,182.88,170,GK
111885,Efrain Juarez,180.34,168,Outfield
37377,Markus Miller,187.96,203,GK
215307,Jonathan Ligali,182.88,190,GK
477595,Javier Noblejas,187.96,170,Outfield
213504,Diego Marino,185.42,165,GK
40602,John Ruddy,193.04,212,GK
164017,Paul Marshall,185.42,174,Outfield
69259,Lukasz Zaluska,187.96,190,GK
24751,James Collins,193.04,198,Outfield
212147,Sonny Stevens,193.04,192,GK
35338,Jay Bothroyd,190.5,183,Outfield
24579,Mark Bunn,182.88,172,GK
295069,Conor Townsend,182.88,161,Outfield
35481,Rob Hulse,187.96,172,Outfield
154280,Jordan Ayew,182.88,179,Outfield
181276,Romelu Lukaku,190.5,207,Outfield
2984,Sergio Aragones,182.88,176,GK
34947,"Bennedict McCarthy,27",182.88,192,Outfield
38318,Jurgen Sierens,190.5,196,GK
37185,Andwele Slory,170.18,154,Outfield
116243,Rafael Romo,198.12,187,GK
66890,Senad Lulic,182.88,172,Outfield
39354,Emanuele Manitta,187.96,183,GK
232143,Martin Polacek,198.12,209,GK
30832,Luis Garcia,177.8,163,Outfield
289257,Rodrigo,187.96,181,GK
210682,Zacharie Boucher,180.34,174,GK
40951,Tiago Pinto,177.8,154,Outfield
24886,Michael Pollitt,193.04,194,GK
129241,Hannes Thor Halldorsson,193.04,192,GK
40648,Antonio Adan,190.5,203,GK
39699,David Baiocco,172.72,154,Outfield
279855,Farid El Alagui,185.42,183,Outfield
50074,Juan Camilo Zuniga,172.72,159,Outfield
147733,Mohamed Amsif,187.96,196,GK
157955,Samuel Atrous,190.5,187,GK
116881,Adrian Paluchowski,180.34,165,Outfield
39351,Doni,193.04,201,GK
127209,Anders Christiansen,175.26,165,Outfield
13454,Sebastian Przyrowski,193.04,174,GK
69805,Stepan Kucera,190.5,192,Outfield
37489,Nino,170.18,150,Outfield
167285,Alireza Haghighi,193.04,176,GK
463957,Jakub Wrabel,193.04,192,GK
564712,Abdoul Ba,200.66,212,Outfield
69254,Marek Szyndrowski,182.88,165,Outfield
434259,Marius Gersbeck,187.96,176,GK
38230,Apoula Edima Edel,182.88,176,GK
149845,Douglas,182.88,187,Outfield
274780,Imran Bunjaku,177.8,148,Outfield
30992,Oscar Ustari,182.88,181,GK
151079,Alejandro Bergantinos,177.8,161,Outfield
73299,Xhevdet Gela,180.34,157,Outfield
242300,Michael Clepkens,187.96,194,GK
274776,Yanick Brecher,193.04,183,GK
33826,Francesco Arnau,185.42,179,GK
181433,Claudio Ramos,182.88,176,GK
38626,Frederic Page,185.42,179,Outfield
304563,Emmanuel Herrera,182.88,185,Outfield
23950,Dean Kiely,185.42,172,GK
33732,Jose Manuel Pinto,185.42,181,GK
188565,Anthony Loustallot,182.88,170,GK
104410,Robin Henkens,175.26,161,Outfield
37335,Lukas Kruse,185.42,185,GK
265273,Gabriel,193.04,198,GK
46509,Angel Di Maria,180.34,165,Outfield
35906,Tomasz Kuszczak,190.5,185,GK
450293,Cesar,170.18,143,Outfield
299024,Leandro Kappel,182.88,161,Outfield
95977,Damien Rascle,187.96,198,GK
480778,Juan Delgado,177.8,157,Outfield
706985,Jordan Lyden,177.8,154,Outfield
46518,Asmir Begovic,200.66,183,GK
105828,Rafael,187.96,176,GK
39153,Cedric Berthelin,193.04,214,GK
439369,Ryan Christie,177.8,154,Outfield
25816,Almen Abdi,182.88,165,Outfield
209422,Mateusz Prus,187.96,176,GK
101584,Cassio,195.58,220,GK
240235,Danilo Pereira,187.96,176,Outfield
169217,Alejandro Bedoya,177.8,161,Outfield
25942,Rui Sacramento,182.88,174,GK
132701,Henri Anier,182.88,183,Outfield
154928,Roland Gigolaev,175.26,154,Outfield
12381,Jan Slovenciak,193.04,196,GK
25108,Paulo Sergio,165.1,146,Outfield
39313,Cristiano Lupatelli,187.96,185,GK
23574,Kris Commons,167.64,141,Outfield
26523,Nicolas Douchez,185.42,179,GK
501940,George Puscas,182.88,154,Outfield
32562,Craig Gordon,193.04,183,GK
68835,Grzegorz Kasprzik,185.42,194,GK
338299,David von Ballmoos,193.04,194,GK
27255,Thomas Kessler,198.12,203,GK
304014,Fernando Marcal,177.8,159,Outfield
25975,Steven Jennings,175.26,157,Outfield
71324,Rodrigo Rojas,180.34,170,Outfield
22982,Philip Chidi Onyemah,180.34,174,Outfield
96836,Ricardo,187.96,185,GK
97502,Michelangelo Albertazzi,185.42,161,Outfield
351055,Florin Bejan,185.42,179,Outfield
279175,Baptiste Reynet,185.42,187,GK
33109,Laurent Pionnier,182.88,170,GK
157723,Christian Eriksen,177.8,157,Outfield
38385,Nicolas Pareja,180.34,163,Outfield
28468,Pedro Oldoni,190.5,181,Outfield
10933,Robert Jez,177.8,159,Outfield
